Rk,Name,Position,Age,Team,Games,GS,MinutesPlayed,FG,FGA,3P,3PA,2P,2PA,FT,FTA,OffensiveRebounds,DefensiveRebounds,Assists,Steals,Blocks,Turnovers,Fouls,PTS
1,Precious Achiuwa,C,22,TOR,48,23,23.1,3.1,7.3,0.4,1.2,2.7,6.1,0.9,1.6,2.2,4.7,1.1,0.5,0.6,1.0,2.0,7.5
2,Steven Adams,C,28,MEM,56,55,26.1,2.8,5.0,0.0,0.0,2.8,5.0,1.5,2.7,4.5,5.1,3.2,0.9,0.7,1.6,1.9,7.0
3,Bam Adebayo,C,24,MIA,33,33,33.0,7.2,13.6,0.0,0.1,7.2,13.5,4.4,5.8,2.8,7.4,3.5,1.5,0.6,2.9,3.2,18.7
4,Santi Aldama,PF,21,MEM,27,0,10.3,1.4,3.6,0.1,1.4,1.2,2.1,0.4,0.7,0.9,1.5,0.5,0.1,0.3,0.3,1.0,3.3
5,LaMarcus Aldridge,C,36,BRK,38,11,22.8,5.8,10.5,0.3,1.0,5.5,9.4,1.7,2.0,1.6,4.2,0.8,0.3,1.1,1.0,1.7,13.7
6,Nickeil Alexander-Walker,SG,23,NOP,50,19,26.3,4.7,12.6,1.9,6.1,2.8,6.5,1.4,1.9,0.7,2.6,2.8,0.8,0.4,1.7,1.8,12.8
7,Grayson Allen,SG,26,MIL,49,48,28.0,4.0,9.4,2.5,6.4,1.5,3.0,1.0,1.1,0.5,2.9,1.5,0.8,0.3,0.6,1.4,11.5
8,Jarrett Allen,C,23,CLE,50,50,32.6,6.6,9.9,0.0,0.2,6.6,9.7,3.0,4.3,3.6,7.4,1.8,0.7,1.3,1.8,1.8,16.2
9,Jose Alvarado,PG,23,NOP,31,1,12.8,1.9,4.5,0.6,1.8,1.4,2.7,0.6,0.9,0.3,1.2,2.0,1.0,0.2,0.5,1.3,5.1
11,Kyle Anderson,PF,28,MEM,47,8,21.7,3.0,7.0,0.6,1.7,2.4,5.3,1.0,1.6,0.9,4.3,2.7,1.1,0.6,1.0,1.5,7.6
12,Giannis Antetokounmpo,PF,27,MIL,48,48,32.6,10.1,18.4,1.2,3.8,8.9,14.6,8.1,11.3,1.9,9.4,6.0,0.9,1.4,3.3,3.2,29.4
13,Thanasis Antetokounmpo,SF,29,MIL,36,5,9.9,1.1,2.4,0.0,0.3,1.1,2.1,0.4,0.7,0.9,1.3,0.5,0.4,0.3,0.6,1.6,2.7
14,Carmelo Anthony,PF,37,LAL,50,3,26.5,4.6,10.5,2.3,5.9,2.3,4.6,2.0,2.4,0.8,3.3,1.0,0.7,0.8,0.9,2.2,13.4
15,Cole Anthony,PG,21,ORL,46,46,33.0,6.0,15.2,2.2,6.5,3.9,8.7,3.5,4.0,0.6,5.2,5.9,0.8,0.3,2.9,2.7,17.7
16,OG Anunoby,SF,24,TOR,42,42,36.7,6.6,15.1,2.4,6.8,4.2,8.3,1.9,2.5,1.6,3.9,2.6,1.5,0.6,1.8,3.0,17.5
17,Trevor Ariza,SF,36,LAL,20,8,19.3,1.3,3.7,1.0,3.1,0.3,0.7,0.4,0.7,0.3,3.1,1.2,0.5,0.2,0.5,0.9,4.0
18,D.J. Augustin,PG,34,HOU,34,2,15.0,1.6,4.0,1.1,2.8,0.5,1.2,1.0,1.1,0.2,1.0,2.2,0.3,0.0,1.3,0.5,5.4
19,Deni Avdija,SF,21,WAS,57,6,23.3,2.8,6.4,0.9,2.9,1.9,3.5,1.1,1.5,0.6,4.4,1.6,0.8,0.6,0.9,2.3,7.6
20,Joel Ayayi,SG,21,WAS,7,0,2.9,0.1,0.9,0.0,0.1,0.1,0.7,0.0,0.0,0.1,0.3,0.6,0.0,0.0,0.0,0.0,0.3
21,Deandre Ayton,C,23,PHO,37,37,29.1,7.2,11.4,0.1,0.2,7.1,11.1,2.0,2.8,2.6,7.6,1.4,0.8,0.8,1.6,2.2,16.5
22,Udoka Azubuike,C,22,UTA,15,6,11.9,2.2,2.9,0.0,0.0,2.2,2.9,0.4,0.7,1.0,3.1,0.0,0.1,0.7,0.8,1.5,4.8
23,Marvin Bagley III,PF,22,SAC,30,17,21.9,3.8,8.2,0.5,2.1,3.3,6.1,1.2,1.6,2.2,4.9,0.6,0.3,0.4,0.7,1.7,9.3
24,LaMelo Ball,PG,20,CHO,52,52,32.6,7.2,16.9,2.7,7.3,4.5,9.7,3.1,3.6,1.6,5.4,7.4,1.6,0.4,3.1,3.2,20.2
25,Lonzo Ball,PG,24,CHI,35,35,34.6,4.6,10.9,3.1,7.4,1.5,3.5,0.6,0.8,1.0,4.4,5.1,1.8,0.9,2.3,2.4,13.0
26,Mo Bamba,C,23,ORL,49,47,26.0,3.9,8.4,1.3,3.7,2.7,4.7,0.8,1.0,2.1,5.8,1.3,0.6,1.8,1.2,2.5,10.0
27,Desmond Bane,SF,23,MEM,56,56,30.2,6.6,14.4,2.9,6.9,3.7,7.4,1.8,1.9,0.6,3.9,2.5,1.2,0.4,1.6,2.6,17.9
28,Dalano Banton,SF,22,TOR,47,1,11.8,1.5,3.6,0.2,0.9,1.2,2.6,0.4,0.7,0.7,1.6,1.6,0.5,0.2,1.0,1.2,3.6
30,Harrison Barnes,PF,29,SAC,55,55,33.7,5.2,11.1,2.0,4.8,3.2,6.3,4.7,5.6,1.1,5.0,2.5,0.7,0.2,1.6,1.3,17.0
31,Scottie Barnes,PF,20,TOR,49,49,35.4,5.7,12.1,0.8,2.7,4.9,9.4,2.2,3.0,2.4,5.0,3.3,1.0,0.8,1.8,2.7,14.4
32,RJ Barrett,SF,21,NYK,48,48,33.1,6.4,15.5,2.0,5.6,4.4,9.8,3.2,4.6,0.9,4.8,2.6,0.5,0.3,2.0,2.0,18.0
33,Will Barton,SG,31,DEN,51,51,32.3,5.8,13.0,2.2,6.0,3.5,7.0,1.4,1.7,0.6,4.3,3.9,0.8,0.5,1.9,1.5,15.2
35,Charles Bassey,PF,21,PHI,23,0,7.3,1.3,2.0,0.0,0.2,1.3,1.9,0.4,0.5,1.0,1.7,0.3,0.2,0.7,0.3,1.4,3.0
36,Keita Bates-Diop,SF,26,SAS,45,12,16.3,2.2,4.3,0.3,0.9,1.8,3.4,0.7,1.0,1.0,2.9,0.6,0.5,0.3,0.7,1.0,5.3
37,Nicolas Batum,PF,33,LAC,39,34,24.9,3.3,6.7,2.0,4.8,1.3,1.9,0.4,0.6,0.5,4.0,1.5,1.0,0.7,0.7,1.4,9.0
38,Kent Bazemore,SF,32,LAL,32,14,14.4,1.3,3.8,0.8,2.1,0.5,1.7,0.4,0.5,0.3,1.4,0.9,0.7,0.2,0.3,1.8,3.7
39,Darius Bazley,PF,21,OKC,53,37,27.3,3.6,9.0,1.0,3.5,2.6,5.5,1.6,2.3,1.1,5.4,1.3,0.8,1.1,1.3,1.0,9.8
